created_time,device_id,direction,flow_status,speed,volume,occupancy
'2019-08-01 00:00:00',19997,NB,1,68,94,2
'2019-08-01 00:05:00',19997,NB,1,68,74,2
'2019-08-01 00:05:00',19997,NB,1,68,74,2
'2019-08-01 00:10:00',19997,NB,1,68,86,2
'2019-08-01 00:15:00',19997,NB,1,69,94,2
'2019-08-01 00:20:00',19997,NB,1,69,93,2
'2019-08-01 00:25:00',19997,NB,1,68,86,2
'2019-08-01 00:30:00',19997,NB,1,68,87,2
'2019-08-01 00:35:00',19997,NB,1,69,98,2
'2019-08-01 00:40:00',19997,NB,0,NULL,240.348784,0
'2019-08-01 00:45:00',19997,NB,1,69,51,1
'2019-08-01 00:55:00',19997,NB,1,68,67,2
'2019-08-01 01:00:00',19997,NB,1,68,61,1
'2019-08-01 01:05:00',19997,NB,1,67,51,1
'2019-08-01 01:10:00',19997,NB,1,69,63,2
'2019-08-01 01:10:00',19997,NB,1,69,63,2
'2019-08-01 01:20:00',19997,NB,1,66,50,1
'2019-08-01 01:25:00',19997,NB,1,68,54,1
'2019-08-01 01:30:00',19997,NB,1,68,44,1
'2019-08-01 01:35:00',19997,NB,1,68,50,1
'2019-08-01 01:40:00',19997,NB,1,71,54,2
'2019-08-01 01:45:00',19997,NB,1,69,54,1
'2019-08-01 01:50:00',19997,NB,1,68,52,1
'2019-08-01 01:50:00',19997,NB,1,68,52,1
'2019-08-01 02:00:00',19997,NB,1,68,49,1
'2019-08-01 02:05:00',19997,NB,1,66,68,2
'2019-08-01 02:05:00',19997,NB,1,66,68,2
'2019-08-01 02:15:00',19997,NB,1,67,47,1
'2019-08-01 02:20:00',19997,NB,1,68,53,2
'2019-08-01 02:25:00',19997,NB,1,68,44,1
'2019-08-01 02:30:00',19997,NB,1,69,52,2
'2019-08-01 02:35:00',19997,NB,1,68,53,1
'2019-08-01 02:40:00',19997,NB,1,67,41,1
'2019-08-01 02:45:00',19997,NB,1,67,51,1
'2019-08-01 02:50:00',19997,NB,1,68,50,2
'2019-08-01 02:55:00',19997,NB,1,66,46,1
'2019-08-01 03:00:00',19997,NB,1,66,43,1
