created_time,device_id,direction,flow_status,speed,volume,occupancy
'2019-08-01 00:00:00',19912,NB,1,71,75,2
'2019-08-01 00:05:00',19912,NB,1,73,72,2
'2019-08-01 00:10:00',19912,NB,1,71,85,2
'2019-08-01 00:15:00',19912,NB,1,71,99,3
'2019-08-01 00:20:00',19912,NB,1,71,80,2
'2019-08-01 00:25:00',19912,NB,1,71,90,3
'2019-08-01 00:30:00',19912,NB,1,71,109,3
'2019-08-01 00:35:00',19912,NB,1,69,84,2
'2019-08-01 00:40:00',19912,NB,1,73,72,2
'2019-08-01 00:45:00',19912,NB,1,71,64,2
'2019-08-01 00:50:00',19912,NB,1,74,57,2
'2019-08-01 00:55:00',19912,NB,1,70,70,2
'2019-08-01 00:55:00',19912,NB,1,70,70,2
'2019-08-01 01:05:00',19912,NB,1,71,43,2
'2019-08-01 01:10:00',19912,NB,1,70,45,2
'2019-08-01 01:15:00',19912,NB,1,68,52,2
'2019-08-01 01:20:00',19912,NB,1,71,47,1
'2019-08-01 01:25:00',19912,NB,1,70,59,2
'2019-08-01 01:30:00',19912,NB,1,71,51,2
'2019-08-01 01:35:00',19912,NB,1,67,54,2
'2019-08-01 01:40:00',19912,NB,1,68,53,2
'2019-08-01 01:45:00',19912,NB,1,70,56,2
'2019-08-01 01:50:00',19912,NB,1,71,44,1
'2019-08-01 01:55:00',19912,NB,1,68,56,2
'2019-08-01 02:00:00',19912,NB,1,70,59,2
'2019-08-01 02:05:00',19912,NB,1,70,46,2
'2019-08-01 02:10:00',19912,NB,1,71,45,2
'2019-08-01 02:15:00',19912,NB,1,72,52,2
'2019-08-01 02:20:00',19912,NB,1,72,47,2
'2019-08-01 02:25:00',19912,NB,1,71,54,2
'2019-08-01 02:30:00',19912,NB,1,71,61,2
'2019-08-01 02:35:00',19912,NB,1,70,43,1
'2019-08-01 02:40:00',19912,NB,1,68,53,2
'2019-08-01 02:45:00',19912,NB,1,70,50,2
'2019-08-01 02:50:00',19912,NB,1,71,43,2
'2019-08-01 02:55:00',19912,NB,1,71,52,2
'2019-08-01 03:00:00',19912,NB,1,70,42,2
'2019-08-01 03:05:00',19912,NB,1,69,38,1
'2019-08-01 03:10:00',19912,NB,1,70,55,2
'2019-08-01 03:25:00',19912,NB,1,72,61,2
'2019-08-01 03:30:00',19912,NB,1,72,49,2
'2019-08-01 03:35:00',19912,NB,1,70,63,2
'2019-08-01 03:40:00',19912,NB,1,73,61,2
'2019-08-01 03:45:00',19912,NB,1,71,45,2
'2019-08-01 03:50:00',19912,NB,1,70,62,2
'2019-08-01 03:55:00',19912,NB,1,70,37,1
'2019-08-01 04:00:00',19912,NB,1,71,57,2
'2019-08-01 04:05:00',19912,NB,1,71,72,3
'2019-08-01 04:10:00',19912,NB,1,71,75,3
'2019-08-01 04:15:00',19912,NB,1,69,56,2
'2019-08-01 04:20:00',19912,NB,1,72,72,3
'2019-08-01 04:25:00',19912,NB,1,72,73,2
'2019-08-01 04:30:00',19912,NB,1,71,76,2
'2019-08-01 04:35:00',19912,NB,1,71,91,3
'2019-08-01 04:40:00',19912,NB,1,70,90,3
'2019-08-01 04:45:00',19912,NB,1,70,102,4
'2019-08-01 04:50:00',19912,NB,1,71,97,3
'2019-08-01 04:55:00',19912,NB,1,72,110,4
'2019-08-01 05:00:00',19912,NB,1,72,130,4
'2019-08-01 05:05:00',19912,NB,1,72,140,5
'2019-08-01 05:10:00',19912,NB,1,73,121,3
'2019-08-01 05:15:00',19912,NB,1,70,136,5
'2019-08-01 05:20:00',19912,NB,1,72,152,5
'2019-08-01 05:25:00',19912,NB,1,71,169,5
