county,device_id,permit,title,lat,lon
New Castle,19912,ND0015,I 95 @ SR 896 INTERCHANGE SB,39.650208,-75.725168
New Castle,19924,ND0028,I 95 @ CHURCHMANS ON RAMP,39.688938,-75.640491
New Castle,19951,ND0024,I 95 @ SR 1,39.67907,-75.6659
New Castle,19978,ND0026,SR 1 @ RAMP B1 TO I 95 NB,39.68344,-75.654181
New Castle,19985,ND0008,I-95 NB @ OTTS CHAPEL RD,39.640808,-75.777391
New Castle,19992,ND0011,I 95 @ SR 896 INTERCHANGE SB ON RAMP,39.647249,-75.741666
New Castle,19997,ND0023,I 95 @ SR 273 INTERCHANGE,39.675803,-75.67044
