created_time,device_id,direction,flow_status,speed,volume,occupancy
'2019-08-01 00:00:00',19985,NB,1,60,61,3
'2019-08-01 00:05:00',19985,NB,1,61,62,3
'2019-08-01 00:10:00',19985,NB,1,60,71,3
'2019-08-01 00:15:00',19985,NB,1,63,71,2
'2019-08-01 00:20:00',19985,NB,1,59,71,3
'2019-08-01 00:25:00',19985,NB,1,59,85,4
'2019-08-01 00:30:00',19985,NB,1,59,66,2
'2019-08-01 00:35:00',19985,NB,1,65,62,3
'2019-08-01 00:40:00',19985,NB,1,64,46,2
'2019-08-01 00:45:00',19985,NB,1,62,70,3
'2019-08-01 00:50:00',19985,NB,1,62,50,2
'2019-08-01 00:55:00',19985,NB,1,61,49,2
'2019-08-01 01:00:00',19985,NB,1,65,34,1
'2019-08-01 01:05:00',19985,NB,1,65,53,2
'2019-08-01 01:10:00',19985,NB,1,60,35,2
'2019-08-01 01:15:00',19985,NB,1,63,34,1
'2019-08-01 01:20:00',19985,NB,1,63,45,2
'2019-08-01 01:25:00',19985,NB,1,61,45,2
'2019-08-01 01:30:00',19985,NB,1,64,36,1
'2019-08-01 01:35:00',19985,NB,1,63,47,2
'2019-08-01 01:40:00',19985,NB,1,60,35,1
'2019-08-01 01:45:00',19985,NB,1,62,48,2
'2019-08-01 01:50:00',19985,NB,1,63,32,1
'2019-08-01 01:55:00',19985,NB,1,57,43,2
'2019-08-01 02:00:00',19985,NB,1,62,47,2
'2019-08-01 02:05:00',19985,NB,1,62,36,2
'2019-08-01 02:10:00',19985,NB,1,61,45,2
'2019-08-01 02:15:00',19985,NB,1,64,36,2
'2019-08-01 02:20:00',19985,NB,1,64,46,2
'2019-08-01 02:25:00',19985,NB,1,64,33,1
'2019-08-01 02:30:00',19985,NB,1,64,45,2
'2019-08-01 02:35:00',19985,NB,1,63,43,2
'2019-08-01 02:40:00',19985,NB,1,60,33,1
'2019-08-01 02:45:00',19985,NB,1,66,38,2
'2019-08-01 02:50:00',19985,NB,1,61,40,2
'2019-08-01 02:55:00',19985,NB,1,62,33,1
'2019-08-01 03:00:00',19985,NB,1,61,39,2
'2019-08-01 03:05:00',19985,NB,1,60,35,2
'2019-08-01 03:10:00',19985,NB,1,65,44,2
'2019-08-01 03:25:00',19985,NB,1,65,43,2
'2019-08-01 03:30:00',19985,NB,1,64,53,2
'2019-08-01 03:35:00',19985,NB,1,63,35,2
'2019-08-01 03:40:00',19985,NB,1,64,50,2
'2019-08-01 03:45:00',19985,NB,1,62,50,2
'2019-08-01 03:50:00',19985,NB,1,65,36,2
'2019-08-01 03:55:00',19985,NB,1,63,42,2
'2019-08-01 04:00:00',19985,NB,1,62,50,2
'2019-08-01 04:05:00',19985,NB,1,63,63,3
'2019-08-01 04:10:00',19985,NB,1,61,38,2
'2019-08-01 04:15:00',19985,NB,1,64,53,2
'2019-08-01 04:20:00',19985,NB,1,67,48,2
'2019-08-01 04:25:00',19985,NB,1,63,44,2
'2019-08-01 04:30:00',19985,NB,1,62,49,2
'2019-08-01 04:35:00',19985,NB,1,62,63,3
'2019-08-01 04:40:00',19985,NB,1,62,75,3
'2019-08-01 04:45:00',19985,NB,1,61,64,3
'2019-08-01 04:50:00',19985,NB,1,67,45,2
'2019-08-01 04:55:00',19985,NB,1,61,82,4
'2019-08-01 05:00:00',19985,NB,1,64,73,3
'2019-08-01 05:05:00',19985,NB,1,63,74,3
'2019-08-01 05:10:00',19985,NB,1,62,64,3
'2019-08-01 05:15:00',19985,NB,1,62,88,4
'2019-08-01 05:20:00',19985,NB,1,63,91,4
'2019-08-01 05:25:00',19985,NB,1,66,70,3
'2019-08-01 05:30:00',19985,NB,1,63,83,3
'2019-08-01 05:35:00',19985,NB,1,67,79,3
'2019-08-01 05:40:00',19985,NB,1,65,106,4
'2019-08-01 05:45:00',19985,NB,1,66,87,3
'2019-08-01 05:50:00',19985,NB,1,65,87,3
'2019-08-01 05:55:00',19985,NB,1,67,100,4
'2019-08-01 06:00:00',19985,NB,1,67,102,3
'2019-08-01 06:05:00',19985,NB,1,67,104,4
'2019-08-01 06:10:00',19985,NB,1,66,104,4
'2019-08-01 06:15:00',19985,NB,1,70,113,4
'2019-08-01 06:20:00',19985,NB,1,66,147,5
'2019-08-01 06:25:00',19985,NB,1,68,122,4
'2019-08-01 06:30:00',19985,NB,1,67,127,4
'2019-08-01 06:35:00',19985,NB,1,68,149,5
'2019-08-01 06:40:00',19985,NB,1,68,120,4
'2019-08-01 06:45:00',19985,NB,1,67,123,4
'2019-08-01 06:50:00',19985,NB,1,67,144,4
'2019-08-01 06:55:00',19985,NB,1,66,137,5
'2019-08-01 07:00:00',19985,NB,1,67,155,4
'2019-08-01 07:05:00',19985,NB,1,68,144,4
'2019-08-01 07:10:00',19985,NB,1,66,139,5
'2019-08-01 07:15:00',19985,NB,1,68,161,5
'2019-08-01 07:20:00',19985,NB,1,68,150,4
'2019-08-01 07:25:00',19985,NB,1,69,144,4
'2019-08-01 07:30:00',19985,NB,1,66,169,5
'2019-08-01 07:35:00',19985,NB,1,65,171,5
'2019-08-01 07:40:00',19985,NB,1,67,167,5
'2019-08-01 07:40:00',19985,NB,1,67,167,5
'2019-08-01 07:45:00',19985,NB,0,0,145.891519,0
'2019-08-01 07:55:00',19985,NB,1,68,172,6
'2019-08-01 08:00:00',19985,NB,1,70,170,4
'2019-08-01 08:05:00',19985,NB,1,68,167,4
'2019-08-01 08:10:00',19985,NB,1,67,155,4
'2019-08-01 08:15:00',19985,NB,1,65,160,5
'2019-08-01 08:20:00',19985,NB,1,68,174,6
'2019-08-01 08:25:00',19985,NB,1,69,133,4
'2019-08-01 08:30:00',19985,NB,1,65,205,6
'2019-08-01 08:35:00',19985,NB,1,65,156,5
'2019-08-01 08:40:00',19985,NB,1,68,170,5
'2019-08-01 08:45:00',19985,NB,1,66,186,6
'2019-08-01 08:50:00',19985,NB,1,69,173,4
'2019-08-01 08:55:00',19985,NB,1,67,157,4
'2019-08-01 09:00:00',19985,NB,1,66,182,6
'2019-08-01 09:05:00',19985,NB,1,67,157,5
'2019-08-01 09:10:00',19985,NB,1,66,149,4
'2019-08-01 09:15:00',19985,NB,1,66,153,4
'2019-08-01 09:20:00',19985,NB,1,67,171,5
'2019-08-01 09:25:00',19985,NB,1,66,215,7
'2019-08-01 09:30:00',19985,NB,1,66,143,4
'2019-08-01 09:35:00',19985,NB,1,64,198,7
'2019-08-01 09:40:00',19985,NB,1,65,186,5
'2019-08-01 09:45:00',19985,NB,1,66,189,5
'2019-08-01 09:50:00',19985,NB,1,65,178,6
'2019-08-01 09:55:00',19985,NB,1,62,207,7
'2019-08-01 10:00:00',19985,NB,1,67,179,5
'2019-08-01 10:05:00',19985,NB,1,65,175,5
'2019-08-01 10:10:00',19985,NB,1,63,203,7
'2019-08-01 10:15:00',19985,NB,1,63,177,5
'2019-08-01 10:20:00',19985,NB,1,63,212,7
'2019-08-01 10:25:00',19985,NB,1,63,208,7
'2019-08-01 10:30:00',19985,NB,1,64,198,6
'2019-08-01 10:35:00',19985,NB,1,64,207,7
'2019-08-01 10:40:00',19985,NB,1,62,199,6
'2019-08-01 10:45:00',19985,NB,1,63,196,6
'2019-08-01 10:50:00',19985,NB,1,65,208,7
'2019-08-01 10:55:00',19985,NB,1,65,233,7
'2019-08-01 11:00:00',19985,NB,1,63,221,6
'2019-08-01 11:05:00',19985,NB,1,66,187,5
'2019-08-01 11:10:00',19985,NB,1,63,240,7
'2019-08-01 11:15:00',19985,NB,1,65,188,6
'2019-08-01 11:20:00',19985,NB,1,63,248,7
'2019-08-01 11:25:00',19985,NB,1,65,231,6
'2019-08-01 11:30:00',19985,NB,1,65,233,7
'2019-08-01 11:35:00',19985,NB,1,65,218,6
'2019-08-01 11:40:00',19985,NB,1,62,229,7
'2019-08-01 11:45:00',19985,NB,1,62,264,8
'2019-08-01 11:50:00',19985,NB,1,65,246,7
'2019-08-01 11:55:00',19985,NB,1,65,209,6
'2019-08-01 12:00:00',19985,NB,1,66,222,6
'2019-08-01 12:05:00',19985,NB,1,64,256,8
'2019-08-01 12:10:00',19985,NB,1,64,201,6
'2019-08-01 12:15:00',19985,NB,2,63,269,8
'2019-08-01 12:20:00',19985,NB,1,64,239,6
'2019-08-01 12:25:00',19985,NB,1,65,213,6
'2019-08-01 12:30:00',19985,NB,1,65,189,5
'2019-08-01 12:35:00',19985,NB,1,66,212,5
'2019-08-01 12:40:00',19985,NB,1,61,185,5
'2019-08-01 12:45:00',19985,NB,1,68,147,4
'2019-08-01 12:50:00',19985,NB,1,66,164,4
'2019-08-01 12:55:00',19985,NB,1,64,249,7
